points,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,home_team,team_long_name1
1,1637,9986,8571,1,1,1,2015/2016,KV Kortrijk,Sporting Charleroi
1,1638,1773,9994,3,3,1,2015/2016,Sporting Lokeren,Oud-Heverlee Leuven
0,1639,10001,9985,2,0,1,2015/2016,Standard de Liège,KVC Westerlo
3,1640,9997,8203,0,3,1,2015/2016,KV Mechelen,Sint-Truidense VV
0,1641,8342,10001,6,0,1,2015/2016,KVC Westerlo,Club Brugge KV
0,1642,9985,9986,3,0,1,2015/2016,Sporting Charleroi,Standard de Liège
0,1643,8573,9991,5,2,1,2015/2016,KAA Gent,KV Oostende
3,1644,10000,8203,2,3,1,2015/2016,KV Mechelen,SV Zulte-Waregem
0,1645,274581,1773,3,1,1,2015/2016,Oud-Heverlee Leuven,Royal Excel Mouscron
1,1646,9994,9987,0,0,1,2015/2016,KRC Genk,Sporting Lokeren
0,1647,8571,9997,3,0,1,2015/2016,Sint-Truidense VV,KV Kortrijk
0,1648,8475,8635,1,0,1,2015/2016,RSC Anderlecht,Waasland-Beveren
1,1649,8635,9985,3,3,1,2015/2016,Standard de Liège,RSC Anderlecht
0,1650,9991,9994,3,1,1,2015/2016,Sporting Lokeren,KAA Gent
0,1651,9987,8342,3,2,1,2015/2016,Club Brugge KV,KRC Genk
3,1652,8203,8571,0,2,1,2015/2016,KV Kortrijk,KV Mechelen
3,1653,9986,8475,2,3,1,2015/2016,Waasland-Beveren,Sporting Charleroi
0,1654,1773,8573,4,1,1,2015/2016,KV Oostende,Oud-Heverlee Leuven
1,1655,10001,274581,2,2,1,2015/2016,Royal Excel Mouscron,KVC Westerlo
3,1656,9997,10000,1,2,1,2015/2016,SV Zulte-Waregem,Sint-Truidense VV
0,1657,8342,9997,3,0,1,2015/2016,Sint-Truidense VV,Club Brugge KV
0,1658,9985,9987,2,1,1,2015/2016,KRC Genk,Standard de Liège
1,1659,9991,1773,1,1,1,2015/2016,Oud-Heverlee Leuven,KAA Gent
