win_lose,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_long_name0,team_long_name1
3,15595,8593,8464,2,2,13274,2015/2016,Ajax,N.E.C.
1,15596,9908,10218,2,1,13274,2015/2016,FC Utrecht,Excelsior
2,15597,10228,9791,0,1,13274,2015/2016,SC Heerenveen,Heracles Almelo
1,15598,10235,8526,3,1,13274,2015/2016,Feyenoord,De Graafschap
1,15599,6413,8525,4,1,13274,2015/2016,PEC Zwolle,Willem II
2,15600,7788,9803,0,1,13274,2015/2016,SC Cambuur,Roda JC Kerkrade
3,15601,8611,10229,2,2,13274,2015/2016,FC Twente,AZ
2,15602,8674,8277,0,3,13274,2015/2016,FC Groningen,Vitesse
1,15603,10217,8464,1,0,13274,2015/2016,ADO Den Haag,N.E.C.
2,15604,8640,8593,0,2,13274,2015/2016,PSV,Ajax
3,15605,9791,9908,1,1,13274,2015/2016,Heracles Almelo,FC Utrecht
3,15606,8526,7788,2,2,13274,2015/2016,De Graafschap,SC Cambuur
2,15607,10229,8640,2,4,13274,2015/2016,AZ,PSV
1,15608,10235,10218,3,0,13274,2015/2016,Feyenoord,Excelsior
2,15609,8525,8611,2,3,13274,2015/2016,Willem II,FC Twente
1,15610,8464,8277,2,1,13274,2015/2016,N.E.C.,Vitesse
2,15611,9803,10228,1,2,13274,2015/2016,Roda JC Kerkrade,SC Heerenveen
2,15612,10217,8674,0,1,13274,2015/2016,ADO Den Haag,FC Groningen
1,15613,8593,6413,3,0,13274,2015/2016,Ajax,PEC Zwolle
1,15614,8674,10218,2,0,13274,2015/2016,FC Groningen,Excelsior
1,15615,9803,8526,1,0,13274,2015/2016,Roda JC Kerkrade,De Graafschap
3,15616,10228,8640,1,1,13274,2015/2016,SC Heerenveen,PSV
2,15617,8464,8593,0,2,13274,2015/2016,N.E.C.,Ajax
2,15618,7788,9791,1,6,13274,2015/2016,SC Cambuur,Heracles Almelo
1,15619,6413,8611,2,1,13274,2015/2016,PEC Zwolle,FC Twente
3,15620,10229,8525,0,0,13274,2015/2016,AZ,Willem II
3,15621,10217,9908,1,1,13274,2015/2016,ADO Den Haag,FC Utrecht
1,15622,10235,8277,2,0,13274,2015/2016,Feyenoord,Vitesse
1,15623,6413,9803,3,1,13274,2015/2016,PEC Zwolle,Roda JC Kerkrade
2,15624,10218,9791,1,3,13274,2015/2016,Excelsior,Heracles Almelo
2,15625,7788,8593,0,1,13274,2015/2016,SC Cambuur,Ajax
3,15626,8277,10217,2,2,13274,2015/2016,Vitesse,ADO Den Haag
1,15627,8640,8525,2,0,13274,2015/2016,PSV,Willem II
1,15628,10228,10229,4,2,13274,2015/2016,SC Heerenveen,AZ
1,15629,9908,8464,3,1,13274,2015/2016,FC Utrecht,N.E.C.
1,15630,8674,8526,3,1,13274,2015/2016,FC Groningen,De Graafschap
2,15631,8611,10235,0,1,13274,2015/2016,FC Twente,Feyenoord
3,15632,8526,8611,1,1,13274,2015/2016,De Graafschap,FC Twente
3,15633,8277,9791,1,1,13274,2015/2016,Vitesse,Heracles Almelo
3,15634,10235,8674,1,1,13274,2015/2016,Feyenoord,FC Groningen
1,15635,10229,6413,5,1,13274,2015/2016,AZ,PEC Zwolle
2,15636,9803,8640,0,3,13274,2015/2016,Roda JC Kerkrade,PSV
3,15637,8593,9908,2,2,13274,2015/2016,Ajax,FC Utrecht
2,15638,8525,10217,0,2,13274,2015/2016,Willem II,ADO Den Haag
1,15639,8464,7788,2,1,13274,2015/2016,N.E.C.,SC Cambuur
3,15640,10218,10228,1,1,13274,2015/2016,Excelsior,SC Heerenveen
1,15641,8674,9803,1,0,13274,2015/2016,FC Groningen,Roda JC Kerkrade
1,15642,8640,8277,2,0,13274,2015/2016,PSV,Vitesse
1,15643,8611,10218,2,0,13274,2015/2016,FC Twente,Excelsior
2,15644,10217,10229,1,2,13274,2015/2016,ADO Den Haag,AZ
1,15645,6413,8464,2,0,13274,2015/2016,PEC Zwolle,N.E.C.
2,15646,10228,8593,0,2,13274,2015/2016,SC Heerenveen,Ajax
2,15647,9908,8526,0,2,13274,2015/2016,FC Utrecht,De Graafschap
3,15648,7788,8525,1,1,13274,2015/2016,SC Cambuur,Willem II
