win_lose,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_long_name0,team_long_name1
3,10062,9790,8722,1,1,7809,2015/2016,Hamburger SV,1. FC Köln
2,10063,9810,10269,2,4,7809,2015/2016,Eintracht Frankfurt,VfB Stuttgart
2,10064,9904,9905,0,1,7809,2015/2016,Hannover 96,1. FSV Mainz 05
3,10065,8177,9789,0,0,7809,2015/2016,Hertha BSC Berlin,Borussia Dortmund
2,10066,8226,8262,0,2,7809,2015/2016,TSG 1899 Hoffenheim,SV Darmstadt 98
1,10067,8234,8406,2,1,7809,2015/2016,FC Ingolstadt 04,FC Augsburg
1,10068,9789,9904,1,0,7809,2015/2016,Borussia Dortmund,Hannover 96
1,10069,8721,8234,2,0,7809,2015/2016,VfL Wolfsburg,FC Ingolstadt 04
1,10070,9790,9788,3,2,7809,2015/2016,Hamburger SV,Borussia Mönchengladbach
1,10071,10269,8177,2,0,7809,2015/2016,VfB Stuttgart,Hertha BSC Berlin
2,10072,8406,9823,1,3,7809,2015/2016,FC Augsburg,FC Bayern Munich
3,10073,8697,8226,1,1,7809,2015/2016,SV Werder Bremen,TSG 1899 Hoffenheim
1,10074,8722,9810,3,1,7809,2015/2016,1. FC Köln,Eintracht Frankfurt
1,10075,9905,10189,2,1,7809,2015/2016,1. FSV Mainz 05,FC Schalke 04
2,10076,8262,8178,1,2,7809,2015/2016,SV Darmstadt 98,Bayer 04 Leverkusen
1,10077,9823,8262,3,1,7809,2015/2016,FC Bayern Munich,SV Darmstadt 98
3,10078,10189,10269,1,1,7809,2015/2016,FC Schalke 04,VfB Stuttgart
2,10079,8178,9789,0,1,7809,2015/2016,Bayer 04 Leverkusen,Borussia Dortmund
1,10080,9788,8722,1,0,7809,2015/2016,Borussia Mönchengladbach,1. FC Köln
3,10081,9810,9790,0,0,7809,2015/2016,Eintracht Frankfurt,Hamburger SV
2,10082,9904,8406,0,1,7809,2015/2016,Hannover 96,FC Augsburg
3,10083,8177,8721,1,1,7809,2015/2016,Hertha BSC Berlin,VfL Wolfsburg
1,10084,8226,9905,3,2,7809,2015/2016,TSG 1899 Hoffenheim,1. FSV Mainz 05
1,10085,8234,8697,2,0,7809,2015/2016,FC Ingolstadt 04,SV Werder Bremen
1,10086,9789,8226,3,1,7809,2015/2016,Borussia Dortmund,TSG 1899 Hoffenheim
2,10087,8721,9823,0,2,7809,2015/2016,VfL Wolfsburg,FC Bayern Munich
3,10088,9790,8234,1,1,7809,2015/2016,Hamburger SV,FC Ingolstadt 04
2,10089,10269,9904,1,2,7809,2015/2016,VfB Stuttgart,Hannover 96
3,10090,8406,9788,2,2,7809,2015/2016,FC Augsburg,Borussia Mönchengladbach
3,10091,8697,8262,2,2,7809,2015/2016,SV Werder Bremen,SV Darmstadt 98
3,10092,9810,10189,0,0,7809,2015/2016,Eintracht Frankfurt,FC Schalke 04
2,10093,8722,8177,0,1,7809,2015/2016,1. FC Köln,Hertha BSC Berlin
1,10094,9905,8178,3,1,7809,2015/2016,1. FSV Mainz 05,Bayer 04 Leverkusen
2,10095,9823,9905,1,2,7809,2015/2016,FC Bayern Munich,1. FSV Mainz 05
1,10096,10189,9790,3,2,7809,2015/2016,FC Schalke 04,Hamburger SV
2,10097,8178,8697,1,4,7809,2015/2016,Bayer 04 Leverkusen,SV Werder Bremen
1,10098,9788,10269,4,0,7809,2015/2016,Borussia Mönchengladbach,VfB Stuttgart
2,10099,9904,8721,0,4,7809,2015/2016,Hannover 96,VfL Wolfsburg
1,10100,8177,9810,2,0,7809,2015/2016,Hertha BSC Berlin,Eintracht Frankfurt
1,10101,8226,8406,2,1,7809,2015/2016,TSG 1899 Hoffenheim,FC Augsburg
